@@,name,position
---,Álvaro Delgado Ceretta,Secretary of the Presidency
---,Tabaré Viera,Minister of Tourism (Uruguay)
---,Pablo da Silveira,Minister of Education and Culture of Uruguay
---,Pablo Mieres,Minister of Labour and Social Welfare (Uruguay)
---,Omar Paganini,"Minister of Industry, Energy and Mining (Uruguay)"
---,Martín Lema,minister of Social Development
---,Luis Lacalle Pou,President of Uruguay
---,Luis Alberto Héber,Minister of the Interior of Uruguay
---,José Luis Falero,Minister of Transport and Public Works
---,Javier García Duchini,Minister of National Defence of Uruguay
---,Isaac Alfie,Director of the Office of Planning and Budget
---,Irene Moreira,"Minister of Housing, Territorial Planning and Environment of Uruguay"
---,Francisco Bustillo,minister of Foreign Relations
---,Fernando Mattos Costa,"Minister of Livestock, Agriculture, and Fisheries (Uruguay)"
---,Daniel Salinas,Minister of Public Health (Uruguay)
---,Beatriz Argimón,Vice President of Uruguay
---,Azucena Arbeleche,Minister of Economy and Finance (Uruguay)
---,Adrián Peña,Minister of the Environment of Uruguay
