id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q4524807,President of Uruguay,Q77,Q77,Q3773222,Q752658,1830-11-06,,,,President of Uruguay
Q3773222,Vice President of Uruguay,Q77,Q77,,,1934-03-01,,,,Vice President of Uruguay
Q110192550,Minister of Economy and Finance (Uruguay),,Q77,,,,,,,
Q20006803,Minister of Education and Culture of Uruguay,Q77,Q77,,Q57710074,,,,,
Q98826748,Minister of the Environment of Uruguay,,Q77,,,,,,,
Q1829509,Minister of Foreign Affairs,Q77,Q77,,,,,,,List of Ministers of Foreign Relations of Uruguay
Q1829509,Minister of Foreign Affairs,Q77,Q77,,,,,,,List of Ministers of Foreign Relations of Uruguay
Q110192581,"Minister of Housing, Territorial Planning and Environment of Uruguay",,Q77,,,,,,,
Q110192557,"Minister of Industry, Energy and Mining (Uruguay)",,Q77,,,,,,,
Q106943362,Minister of the Interior of Uruguay,,Q77,,,,,,,
Q110192555,"Minister of Livestock, Agriculture, and Fisheries (Uruguay)",,Q77,,,,,,,
Q106548938,Minister of National Defence of Uruguay,Q77,,,,,,,,
Q110192563,Minister of Public Health (Uruguay),,Q77,,,,,,,
Q98826754,minister of Social Development,,Q77,,,,,,,
Q110192575,Minister of Tourism (Uruguay),,Q77,,,,,,,
Q110192573,Minister of Transport and Public Works,,Q77,,,,,,,
Q6123145,Secretary of the Presidency,Q77,,,,,,,,
Q110192665,Director of the Office of Planning and Budget,,Q77,,,,,,,
Q110192733,Speaker of the Chamber of Deputies,,,,,,,,,
Q110192766,President of the Central Bank of Uruguay,Q77,,,,,,,,
Q110192816,Chief of the Defence Staff of Uruguay,,Q77,,,,,,,
